Czerwony,rojo,rojo,roho
Niebieski,azul,azul,asul
Zielony,verde,verde,berde
Żółty,amarillo,amarillo,amarijo
Pomarańczowy,naranja,naranja,naranha
Różowy,rosa,rosa,rosa
Fioletowy,morado,morado,morado
Biały,blanco,blanco,blanko
Czarny,negro,negro,negro
Brązowy,marron,marrón,maron
